['Cleveland_Browns', '0', '0', '0', '7', nan, '7', 'Pittsburgh_Steelers', '7', '7', '3', '3', nan, '20']
['Houston_Texans', '7', '0', '0', '3', nan, '10', 'Tennessee_Titans', '0', '6', '7', '3', nan, '16']
['New_York_Jets', '0', '14', '0', '6', nan, '20', 'Miami_Dolphins', '0', '7', '0', '0', nan, '7']
['Jacksonville_Jaguars', '0', '3', '0', '7', nan, '10', 'Indianapolis_Colts', '17', '3', '7', '3', nan, '30']
['Baltimore_Ravens', '6', '0', '11', '0', nan, '17', 'Cincinnati_Bengals', '7', '10', '0', '17', nan, '34']
['Washington_Redskins', '0', '6', '0', '0', nan, '6', 'New_York_Giants', '0', '10', '7', '3', nan, '20']
['Detroit_Lions', '0', '0', '7', '6', nan, '13', 'Minnesota_Vikings', '7', '0', '0', '7', nan, '14']
['Carolina_Panthers', '0', '14', '7', '0', nan, '21', 'Atlanta_Falcons', '7', '3', '7', '3', nan, '20']
['Buffalo_Bills', '3', '0', '7', '10', nan, '20', 'New_England_Patriots', '6', '10', '0', '18', nan, '34']
['Tampa_Bay_Buccaneers', '7', '7', '3', '0', nan, '17', 'New_Orleans_Saints', '14', '14', '7', '7', nan, '42']
['San_Francisco_49ers', '17', '0', '0', '6', nan, '23', 'Arizona_Cardinals', '0', '7', '0', '13', nan, '20']
['Green_Bay_Packers', '0', '13', '7', '13', nan, '33', 'Chicago_Bears', '7', '0', '14', '7', nan, '28']
['Denver_Broncos', '14', '17', '0', '3', nan, '34', 'Oakland_Raiders', '0', '0', '0', '14', nan, '14']
['St._Louis_Rams', '0', '0', '3', '6', nan, '9', 'Seattle_Seahawks', '7', '6', '7', '7', nan, '27']
['Kansas_City_Chiefs', '14', '7', '3', '0', '0', '24', 'San_Diego_Chargers', '7', '7', '0', '10', '3', '27']
['Philadelphia_Eagles', '3', '14', '0', '7', nan, '24', 'Dallas_Cowboys', '0', '10', '6', '6', nan, '22']
