['Chicago_Bears', '7', '14', '7', '0', nan, '28', 'Arizona_Cardinals', '3', '3', '0', '7', nan, '13']
['New_York_Giants', '7', '0', '0', '7', nan, '14', 'Baltimore_Ravens', '14', '10', '3', '6', nan, '33']
['San_Francisco_49ers', '0', '6', '0', '7', nan, '13', 'Seattle_Seahawks', '14', '14', '7', '7', nan, '42']
['Cleveland_Browns', '0', '3', '7', '0', nan, '10', 'Pittsburgh_Steelers', '0', '10', '7', '7', nan, '24']
['Jacksonville_Jaguars', '7', '7', '0', '6', nan, '20', 'Tennessee_Titans', '7', '14', '14', '3', nan, '38']
['Houston_Texans', '3', '3', '10', '0', nan, '16', 'Indianapolis_Colts', '7', '7', '7', '7', nan, '28']
['New_York_Jets', '3', '6', '0', '0', nan, '9', 'Buffalo_Bills', '7', '7', '0', '14', nan, '28']
['Tampa_Bay_Buccaneers', '3', '10', '9', '0', nan, '22', 'Atlanta_Falcons', '3', '0', '7', '7', nan, '17']
['Carolina_Panthers', '3', '10', '14', '17', nan, '44', 'New_Orleans_Saints', '0', '17', '7', '14', nan, '38']
['Chicago_Bears', '10', '10', '3', '3', nan, '26', 'Detroit_Lions', '3', '7', '7', '7', nan, '24']
['Baltimore_Ravens', '7', '0', '0', '10', nan, '17', 'Cincinnati_Bengals', '0', '7', '6', '10', nan, '23']
['Philadelphia_Eagles', '0', '7', '0', '0', nan, '7', 'New_York_Giants', '21', '14', '0', '7', nan, '42']
['Oakland_Raiders', '0', '7', '0', '14', nan, '21', 'San_Diego_Chargers', '10', '7', '7', '0', nan, '24']
['Miami_Dolphins', '0', '0', '0', '0', nan, '0', 'New_England_Patriots', '7', '14', '0', '7', nan, '28']
['Green_Bay_Packers', '0', '10', '14', '10', nan, '34', 'Minnesota_Vikings', '10', '10', '7', '10', nan, '37']
['Kansas_City_Chiefs', '0', '3', '0', '0', nan, '3', 'Denver_Broncos', '7', '14', '14', '3', nan, '38']
['Arizona_Cardinals', '3', '3', '0', '7', nan, '13', 'San_Francisco_49ers', '0', '7', '10', '10', nan, '27']
['St._Louis_Rams', '0', '7', '3', '3', nan, '13', 'Seattle_Seahawks', '0', '3', '10', '7', nan, '20']
['Dallas_Cowboys', '0', '7', '0', '11', nan, '18', 'Washington_Redskins', '0', '7', '7', '14', nan, '28']
