['22', '11', '29', '115', '0', '28', '109', '0', '28', '45', '253', '1', '4', '7', '11', '130', '3', '0', '1', '1', '1', '2', '252', '128', '367', '237', '1', '1', '0', '0', '5', '0', '5', '31', '3', '46', '8', '15', '3', '9', '0', '1', '0', '0', '36', '32', '23', '28']
['19', '14', '35', '108', '0', '23', '100', '0', '17', '26', '243', '1', '1', '18', '32', '173', '0', '2', '1', '4', '3', '19', '239', '154', '347', '254', '0', '0', '3', '1', '1', '3', '7', '50', '2', '25', '4', '13', '3', '12', '0', '0', '0', '0', '32', '31', '27', '29']
['26', '15', '27', '102', '0', '21', '83', '0', '31', '39', '336', '4', '0', '22', '43', '190', '1', '0', '0', '0', '2', '13', '336', '177', '438', '260', '1', '1', '2', '1', '1', '1', '4', '25', '7', '66', '7', '13', '10', '19', '0', '1', '0', '1', '32', '35', '27', '25']
['13', '34', '16', '47', '0', '35', '152', '3', '21', '37', '197', '1', '1', '31', '41', '334', '3', '0', '3', '20', '1', '0', '177', '334', '224', '486', '3', '3', '1', '1', '4', '1', '5', '40', '6', '40', '2', '12', '6', '11', '1', '2', '2', '2', '22', '11', '37', '49']
['20', '24', '27', '105', '0', '24', '88', '0', '21', '27', '331', '2', '0', '21', '34', '264', '1', '0', '1', '6', '3', '20', '325', '244', '430', '332', '1', '0', '1', '1', '0', '1', '13', '103', '9', '63', '4', '10', '3', '10', '0', '0', '1', '1', '30', '41', '29', '35']
['9', '18', '12', '23', '1', '46', '162', '1', '10', '30', '172', '0', '2', '18', '28', '196', '1', '0', '0', '0', '3', '8', '172', '188', '195', '350', '0', '0', '0', '0', '2', '0', '8', '64', '9', '70', '2', '10', '12', '21', '0', '0', '0', '0', '16', '53', '43', '07']
['19', '20', '27', '78', '0', '22', '61', '1', '24', '34', '360', '2', '2', '19', '32', '213', '2', '2', '1', '6', '5', '40', '354', '173', '432', '234', '2', '0', '0', '0', '2', '2', '13', '112', '6', '55', '6', '14', '3', '11', '0', '0', '0', '0', '32', '07', '27', '53']
['15', '20', '22', '78', '0', '43', '140', '2', '17', '32', '143', '1', '2', '14', '23', '110', '0', '2', '7', '30', '3', '14', '113', '96', '191', '236', '1', '0', '4', '2', '2', '4', '10', '92', '10', '89', '4', '16', '6', '14', '0', '0', '0', '0', '26', '58', '33', '02']
['23', '23', '48', '296', '1', '26', '124', '0', '12', '23', '142', '0', '1', '23', '42', '226', '1', '0', '1', '7', '3', '12', '135', '214', '431', '338', '1', '0', '1', '1', '1', '1', '5', '50', '5', '40', '6', '13', '11', '18', '0', '0', '0', '0', '36', '13', '31', '04']
['18', '32', '23', '88', '0', '25', '103', '1', '20', '33', '354', '2', '3', '35', '49', '445', '3', '0', '2', '10', '1', '10', '344', '435', '432', '538', '0', '0', '2', '1', '3', '1', '4', '38', '2', '20', '6', '13', '4', '10', '0', '1', '0', '0', '26', '06', '33', '54']
['16', '20', '16', '47', '0', '29', '130', '1', '32', '50', '282', '1', '1', '16', '31', '252', '2', '0', '5', '26', '1', '6', '256', '246', '303', '376', '4', '3', '3', '1', '4', '1', '12', '84', '2', '32', '9', '18', '6', '15', '1', '2', '0', '0', '31', '32', '28', '28']
['16', '23', '17', '28', '0', '35', '176', '1', '26', '39', '271', '2', '1', '25', '35', '303', '2', '1', '0', '0', '0', '0', '271', '303', '299', '479', '1', '0', '1', '0', '1', '1', '5', '45', '3', '25', '6', '12', '8', '13', '0', '0', '0', '0', '24', '18', '35', '42']
['16', '15', '24', '116', '1', '39', '155', '2', '17', '38', '149', '0', '3', '14', '25', '138', '0', '1', '2', '14', '1', '7', '135', '131', '251', '286', '2', '1', '0', '0', '4', '1', '4', '30', '5', '31', '3', '13', '6', '16', '0', '0', '1', '2', '29', '18', '30', '42']
['14', '26', '20', '42', '1', '43', '378', '4', '19', '42', '197', '0', '1', '13', '22', '158', '1', '0', '1', '10', '1', '8', '187', '150', '229', '528', '3', '1', '2', '2', '2', '2', '10', '67', '11', '81', '4', '16', '6', '13', '0', '1', '1', '1', '25', '53', '34', '07']
['28', '30', '28', '105', '0', '25', '64', '4', '30', '47', '318', '2', '1', '29', '48', '364', '0', '1', '0', '0', '0', '0', '318', '364', '423', '428', '1', '1', '0', '0', '2', '1', '4', '20', '6', '49', '7', '14', '5', '11', '0', '2', '1', '1', '32', '23', '33', '18']
